variable,group,mean,median,sd,na_pct
herdsize,All farms,815.072,706,581.9711523723048,0
herdsize,Farm with symptom report,703.16,550,557.8892273561123,0
herdsize,Farm without report,843.05,720,587.20755670075,0
number of origins,All farms,2.009009009009009,2,1.6922040253924653,11.200000000000001
number of origins,Farm with symptom report,3.25,2,3.1381246130382587,4
number of origins,Farm without report,1.6666666666666667,2,0.6932677369088798,13
caretaker number,All farms,2.712,3,1.569959933739835,0
caretaker number,Farm with symptom report,2.16,2,0.6879922480183431,0
caretaker number,Farm without report,2.85,3,1.6959547830831536,0
visitors cumulative contact hours,All farms,6.856,6,5.257412585747308,0
visitors cumulative contact hours,Farm with symptom report,5.28,3,5.062278801751901,0
visitors cumulative contact hours,Farm without report,7.25,6,5.255828895020972,0
