"","SIV_positive"
"1","TRUE"
"2","TRUE"
"3","FALSE"
"4","FALSE"
"5","TRUE"
"6","FALSE"
"7","FALSE"
"8","FALSE"
"9","FALSE"
"10","FALSE"
"11","FALSE"
"12","TRUE"
"13","FALSE"
"14","FALSE"
"15","FALSE"
"16","TRUE"
"17","FALSE"
"18","FALSE"
"19","TRUE"
"20","FALSE"
"21","TRUE"
"22","FALSE"
"23","TRUE"
"24","FALSE"
"25","FALSE"
"26","TRUE"
"27","FALSE"
"28","FALSE"
"29","FALSE"
"30","FALSE"
"31","TRUE"
"32","FALSE"
"33","FALSE"
"34","TRUE"
"35","FALSE"
"36","FALSE"
"37","FALSE"
"38","FALSE"
"39","TRUE"
"40","FALSE"
"41","FALSE"
"42","FALSE"
"43","FALSE"
"44","FALSE"
"45","FALSE"
"46","FALSE"
"47","FALSE"
"48","TRUE"
"49","FALSE"
"50","FALSE"
"51","TRUE"
"52","FALSE"
"53","FALSE"
"54","TRUE"
"55","TRUE"
"56","TRUE"
"57","TRUE"
"58","FALSE"
"59","TRUE"
"60","FALSE"
"61","FALSE"
"62","TRUE"
"63","FALSE"
"64","FALSE"
"65","FALSE"
"66","TRUE"
"67","TRUE"
"68","TRUE"
"69","TRUE"
"70","FALSE"
"71","TRUE"
"72","TRUE"
"73","FALSE"
"74","FALSE"
"75","FALSE"
"76","TRUE"
"77","FALSE"
"78","TRUE"
"79","FALSE"
"80","FALSE"
"81","FALSE"
"82","FALSE"
"83","FALSE"
"84","FALSE"
"85","FALSE"
"86","TRUE"
"87","FALSE"
"88","FALSE"
"89","TRUE"
"90","TRUE"
"91","FALSE"
"92","FALSE"
"93","TRUE"
"94","FALSE"
"95","FALSE"
"96","TRUE"
"97","FALSE"
"98","TRUE"
"99","TRUE"
"100","TRUE"
"101","TRUE"
"102","TRUE"
"103","TRUE"
"104","TRUE"
"105","TRUE"
"106","TRUE"
"107","TRUE"
"108","FALSE"
"109","FALSE"
"110","FALSE"
"111","TRUE"
"112","TRUE"
"113","FALSE"
"114","FALSE"
"115","FALSE"
"116","TRUE"
"117","FALSE"
"118","TRUE"
"119","TRUE"
"120","FALSE"
"121","FALSE"
"122","FALSE"
"123","FALSE"
"124","TRUE"
"125","FALSE"
